Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
Guinea,2014-10-10,73.0,180.0,1097.0,1350.0,0.0,180.0,598.0,778.0
Sierra Leone,2014-10-10,320.0,37.0,2593.0,2950.0,35.0,142.0,753.0,930.0
United States of America,2014-10-15,,,2.0,2.0,,,1.0,1.0
Senegal,2014-10-15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2014-10-15,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Liberia,2014-10-15,1376.0,1923.0,950.0,4249.0,,,,2458.0
Spain,2014-10-15,,,1.0,1.0,,,0.0,0.0
Guinea,2014-10-15,98.0,190.0,1184.0,1472.0,0.0,190.0,653.0,843.0
Sierra Leone,2014-10-15,366.0,37.0,2849.0,3252.0,100.0,157.0,926.0,1183.0
Guinea,2014-10-17,111.0,191.0,1217.0,1519.0,0.0,191.0,671.0,862.0
Nigeria,2014-10-17,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2014-10-17,,,1.0,1.0,,,0.0,0.0
Senegal,2014-10-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2014-10-17,,,3.0,3.0,,,1.0,1.0
Liberia,2014-10-17,,,,4262.0,,,,2484.0
Sierra Leone,2014-10-17,396.0,37.0,2977.0,3410.0,107.0,161.0,932.0,1200.0
Nigeria,2014-10-22,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2014-10-22,,,1.0,1.0,,,0.0,0.0
United States of America,2014-10-22,,,3.0,3.0,,,1.0,1.0
Sierra Leone,2014-10-22,446.0,37.0,3223.0,3706.0,109.0,164.0,986.0,1259.0
Senegal,2014-10-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2014-10-22,1594.0,2106.0,965.0,4665.0,661.0,803.0,1241.0,2705.0
Guinea,2014-10-22,58.0,193.0,1289.0,1540.0,1.0,193.0,710.0,904.0
Mali,2014-10-25,,,1.0,1.0,,,1.0,1.0
United States of America,2014-10-25,,,4.0,4.0,,,1.0,1.0
Sierra Leone,2014-10-25,470.0,37.0,3389.0,3896.0,109.0,164.0,1008.0,1281.0
Spain,2014-10-25,,,1.0,1.0,,,0.0,0.0
Senegal,2014-10-25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2014-10-25,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2014-10-25,47.0,194.0,1312.0,1553.0,0.0,194.0,732.0,926.0
Liberia,2014-10-25,1594.0,2106.0,965.0,4665.0,661.0,803.0,1241.0,2705.0
Liberia,2014-10-29,2480.0,1540.0,2515.0,6535.0,,,,2413.0
Mali,2014-10-29,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Nigeria,2014-10-29,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2014-10-29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2014-10-29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2014-10-29,316.0,199.0,1391.0,1906.0,,,,997.0
United States of America,2014-10-29,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2014-10-29,1213.0,322.0,3700.0,5235.0,,,,1500.0
Guinea,2014-10-31,54.0,204.0,1409.0,1667.0,,,,1018.0
Nigeria,2014-10-31,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2014-10-31,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2014-10-31,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2014-10-31,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2014-10-31,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Liberia,2014-10-31,2480.0,1540.0,2515.0,6535.0,,,,2413.0
Sierra Leone,2014-10-31,1238.0,322.0,3778.0,5338.0,,,,1510.0
Spain,2014-11-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2014-11-05,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2014-11-05,70.0,204.0,1457.0,1731.0,0.0,204.0,837.0,1041.0
Liberia,2014-11-05,2447.0,1627.0,2451.0,6525.0,,,,2697.0
Mali,2014-11-05,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Nigeria,2014-11-05,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2014-11-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2014-11-05,623.0,79.0,4057.0,4759.0,35.0,142.0,893.0,1070.0
Nigeria,2014-11-07,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2014-11-07,77.0,204.0,1479.0,1760.0,0.0,204.0,850.0,1054.0
United States of America,2014-11-07,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2014-11-07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2014-11-07,2476.0,1629.0,2514.0,6619.0,,,,2766.0
Spain,2014-11-07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2014-11-07,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Sierra Leone,2014-11-07,634.0,79.0,4149.0,4862.0,35.0,174.0,921.0,1130.0
Spain,2014-11-12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2014-11-12,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2014-11-12,0.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0
Nigeria,2014-11-12,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2014-11-12,58.0,208.0,1612.0,1878.0,0.0,208.0,934.0,1142.0
Sierra Leone,2014-11-12,766.0,79.0,4523.0,5368.0,35.0,174.0,960.0,1169.0
Liberia,2014-11-12,2582.0,1687.0,2553.0,6822.0,,,,2836.0
Senegal,2014-11-12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2014-11-14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2014-11-14,64.0,208.0,1647.0,1919.0,0.0,208.0,958.0,1166.0
Spain,2014-11-14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2014-11-14,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2014-11-14,0.0,1.0,3.0,4.0,,,,3.0
United States of America,2014-11-14,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2014-11-14,2600.0,1716.0,2562.0,6878.0,,,,2812.0
Sierra Leone,2014-11-14,824.0,79.0,4683.0,5586.0,35.0,174.0,978.0,1187.0
Liberia,2014-11-19,2664.0,1762.0,2643.0,7069.0,,,,2964.0
Spain,2014-11-19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2014-11-19,938.0,79.0,5056.0,6073.0,35.0,174.0,1041.0,1250.0
Senegal,2014-11-19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2014-11-19,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2014-11-19,0.0,1.0,5.0,6.0,0.0,1.0,4.0,5.0
United States of America,2014-11-19,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2014-11-19,63.0,210.0,1698.0,1971.0,0.0,210.0,982.0,1192.0
Spain,2014-11-21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2014-11-21,2663.0,1750.0,2669.0,7082.0,,,,2963.0
Nigeria,2014-11-21,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2014-11-21,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2014-11-21,959.0,79.0,5152.0,6190.0,35.0,174.0,1058.0,1267.0
Mali,2014-11-21,0.0,1.0,5.0,6.0,0.0,1.0,5.0,6.0
Senegal,2014-11-21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2014-11-21,86.0,216.0,1745.0,2047.0,0.0,216.0,998.0,1214.0
Sierra Leone,2014-11-26,1079.0,79.0,5441.0,6599.0,35.0,174.0,1189.0,1398.0
Liberia,2014-11-26,2687.0,1754.0,2727.0,7168.0,,,,3016.0
Mali,2014-11-26,0.0,1.0,7.0,8.0,0.0,1.0,5.0,6.0
United States of America,2014-11-26,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2014-11-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2014-11-26,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2014-11-26,74.0,210.0,1850.0,2134.0,0.0,210.0,1050.0,1260.0
Senegal,2014-11-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2014-12-01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2014-12-01,0.0,1.0,7.0,8.0,,,,6.0
Spain,2014-12-01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2014-12-01,1199.0,79.0,5831.0,7109.0,35.0,174.0,1321.0,1530.0
Liberia,2014-12-01,3042.0,1792.0,2801.0,7635.0,,,,3145.0
Nigeria,2014-12-01,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2014-12-01,24.0,210.0,1921.0,2155.0,0.0,210.0,1102.0,1312.0
United States of America,2014-12-01,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2014-12-03,0.0,1.0,7.0,8.0,,,,6.0
Spain,2014-12-03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2014-12-03,25.0,210.0,1929.0,2164.0,0.0,210.0,1117.0,1327.0
Senegal,2014-12-03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2014-12-03,1255.0,79.0,5978.0,7312.0,35.0,174.0,1374.0,1583.0
Liberia,2014-12-03,3042.0,1792.0,2801.0,7635.0,,,,3145.0
United States of America,2014-12-03,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2014-12-03,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2014-12-10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2014-12-10,20.0,221.0,2051.0,2292.0,0.0,221.0,1207.0,1428.0
Senegal,2014-12-10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2014-12-10,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2014-12-10,3075.0,1814.0,2830.0,7719.0,,,,3177.0
Sierra Leone,2014-12-10,1443.0,79.0,6375.0,7897.0,35.0,174.0,1559.0,1768.0
Nigeria,2014-12-10,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2014-12-10,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2014-12-15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2014-12-15,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2014-12-15,16.0,263.0,2115.0,2394.0,0.0,263.0,1255.0,1518.0
United States of America,2014-12-15,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2014-12-15,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2014-12-15,3050.0,1801.0,2946.0,7797.0,,,,3290.0
Senegal,2014-12-15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2014-12-15,1556.0,79.0,6638.0,8273.0,35.0,174.0,1824.0,2033.0
Nigeria,2014-12-17,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2014-12-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2014-12-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2014-12-17,3050.0,1801.0,2946.0,7797.0,,,,3290.0
Mali,2014-12-17,0.0,1.0,7.0,8.0,,,,6.0
United States of America,2014-12-17,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2014-12-17,26.0,263.0,2127.0,2416.0,0.0,263.0,1262.0,1525.0
Sierra Leone,2014-12-17,1575.0,79.0,6702.0,8356.0,35.0,174.0,1876.0,2085.0
Spain,2014-12-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2014-12-22,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2014-12-22,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2014-12-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2014-12-22,49.0,263.0,2259.0,2571.0,0.0,263.0,1323.0,1586.0
Liberia,2014-12-22,2991.0,1754.0,3085.0,7830.0,,,,3376.0
Mali,2014-12-22,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2014-12-22,1677.0,287.0,6975.0,8939.0,158.0,208.0,2190.0,2556.0
Sierra Leone,2014-12-23,1700.0,287.0,7017.0,9004.0,158.0,208.0,2216.0,2582.0
Mali,2014-12-23,0.0,1.0,7.0,8.0,,,,6.0
Spain,2014-12-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2014-12-23,2991.0,1754.0,3085.0,7830.0,,,,3376.0
Senegal,2014-12-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2014-12-23,50.0,263.0,2284.0,2597.0,0.0,263.0,1344.0,1607.0
Nigeria,2014-12-23,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2014-12-23,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2014-12-24,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2014-12-24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2014-12-24,50.0,263.0,2284.0,2597.0,0.0,263.0,1344.0,1607.0
Sierra Leone,2014-12-24,1700.0,287.0,7017.0,9004.0,158.0,208.0,2216.0,2582.0
Spain,2014-12-24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2014-12-24,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2014-12-24,3020.0,1757.0,3085.0,7862.0,,,,3384.0
United States of America,2014-12-24,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2014-12-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2014-12-26,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2014-12-26,1756.0,287.0,7160.0,9203.0,158.0,208.0,2289.0,2655.0
United States of America,2014-12-26,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2014-12-26,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2014-12-26,19.0,269.0,2342.0,2630.0,0.0,269.0,1385.0,1654.0
Liberia,2014-12-26,3020.0,1757.0,3085.0,7862.0,,,,3384.0
Spain,2014-12-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2014-12-29,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2014-12-29,1796.0,287.0,7326.0,9409.0,158.0,208.0,2366.0,2732.0
Nigeria,2014-12-29,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2014-12-29,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2014-12-29,3096.0,1773.0,3108.0,7977.0,,,,3413.0
Guinea,2014-12-29,36.0,275.0,2384.0,2695.0,0.0,275.0,1422.0,1697.0
Senegal,2014-12-29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2014-12-29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2014-12-30,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2014-12-30,1805.0,287.0,7354.0,9446.0,158.0,208.0,2392.0,2758.0
Mali,2014-12-30,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2014-12-30,3096.0,1773.0,3108.0,7977.0,,,,3413.0
Guinea,2014-12-30,34.0,275.0,2397.0,2706.0,0.0,275.0,1433.0,1708.0
Spain,2014-12-30,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2014-12-30,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2014-12-30,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2014-12-31,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2014-12-31,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2014-12-31,3132.0,1776.0,3110.0,8018.0,,,,3423.0
Sierra Leone,2014-12-31,1805.0,287.0,7354.0,9446.0,158.0,208.0,2392.0,2758.0
Mali,2014-12-31,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2014-12-31,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2014-12-31,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2014-12-31,34.0,276.0,2397.0,2707.0,0.0,276.0,1433.0,1709.0
Nigeria,2015-01-02,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-01-02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-01-02,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2015-01-02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-01-02,0.0,0.0,1.0,0.0,,,,0.0
Liberia,2015-01-02,3132.0,1776.0,3110.0,8018.0,,,,3423.0
Sierra Leone,2015-01-02,1870.0,287.0,7476.0,9633.0,158.0,208.0,2461.0,2827.0
Mali,2015-01-02,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-01-02,19.0,276.0,2435.0,2730.0,0.0,276.0,1463.0,1739.0
Sierra Leone,2015-01-05,1915.0,287.0,7570.0,9772.0,158.0,208.0,2549.0,2915.0
Liberia,2015-01-05,3198.0,1805.0,3116.0,8115.0,,,,3471.0
Spain,2015-01-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-01-05,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-01-05,0.0,0.0,1.0,0.0,,,,0.0
Guinea,2015-01-05,26.0,280.0,2465.0,2769.0,0.0,280.0,1488.0,1767.0
United States of America,2015-01-05,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2015-01-05,0.0,1.0,7.0,8.0,,,,6.0
Senegal,2015-01-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-01-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-01-06,22.0,282.0,2471.0,2775.0,0.0,282.0,1499.0,1781.0
Sierra Leone,2015-01-06,1819.0,287.0,7602.0,9780.0,158.0,208.0,2577.0,2943.0
Liberia,2015-01-06,3223.0,1816.0,3118.0,8157.0,,,,3496.0
Spain,2015-01-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-01-06,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2015-01-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-01-06,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2015-01-06,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-01-07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-01-07,22.0,282.0,2471.0,2775.0,0.0,282.0,1499.0,1781.0
Senegal,2015-01-07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-01-07,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-01-07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-01-07,0.0,1.0,7.0,8.0,,,,6.0
United States of America,2015-01-07,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-01-07,1819.0,287.0,7602.0,9780.0,158.0,208.0,2577.0,2943.0
Liberia,2015-01-07,3223.0,1816.0,3118.0,8157.0,,,,3496.0
United Kingdom,2015-01-08,0.0,0.0,1.0,,,,,0.0
Mali,2015-01-08,0.0,1.0,7.0,,,,,6.0
Guinea,2015-01-08,17.0,282.0,2477.0,2776.0,,282.0,1504.0,1786.0
Sierra Leone,2015-01-08,1984.0,287.0,7759.0,10030.0,158.0,208.0,2611.0,2977.0
Liberia,2015-01-08,3232.0,1816.0,3118.0,8166.0,,,,3496.0
Mali,2015-01-09,0.0,1.0,7.0,,,,,6.0
Guinea,2015-01-09,18.0,282.0,2493.0,2793.0,,282.0,1515.0,1797.0
United Kingdom,2015-01-09,0.0,0.0,1.0,,,,,0.0
Sierra Leone,2015-01-09,1984.0,287.0,7759.0,10030.0,158.0,208.0,2611.0,2977.0
Liberia,2015-01-09,3309.0,1831.0,3123.0,8263.0,,,,3515.0
Liberia,2015-01-12,3322.0,1833.0,3123.0,8278.0,,,,3515.0
United Kingdom,2015-01-12,0.0,0.0,1.0,,,,,0.0
Sierra Leone,2015-01-12,2041.0,287.0,7766.0,10094.0,158.0,208.0,2683.0,3049.0
Mali,2015-01-12,0.0,1.0,7.0,,,,,6.0
Guinea,2015-01-12,7.0,284.0,2508.0,2799.0,,284.0,1523.0,1807.0
