pclass,sex,age,sibsp,parch,family_size,fare,embarked,survived
1,0,30.0,0,0,0,93.5,0,1
1,1,52.0,0,0,0,30.5,0,1
1,1,47.0,0,0,0,52.0,0,0
1,0,56.0,0,1,1,83.1583,1,1
1,0,43.0,0,1,1,211.3375,0,1
1,1,31.0,0,0,0,50.4958,0,0
1,0,33.0,0,0,0,27.7208,1,1
1,1,36.0,0,0,0,40.125,1,0
1,0,33.0,0,0,0,86.5,0,1
1,1,13.0,2,2,4,262.375,1,1
1,0,18.0,2,2,4,262.375,1,1
1,0,21.0,2,2,4,262.375,1,1
1,1,61.0,1,3,4,262.375,1,0
1,0,48.0,1,3,4,262.375,1,1
1,0,24.0,0,0,0,69.3,1,1
1,0,35.0,1,0,1,57.75,1,1
1,0,40.0,0,0,0,153.4625,0,1
1,1,35.0,0,0,0,26.2875,0,1
1,1,50.0,1,0,1,55.9,0,0
1,0,39.0,1,0,1,55.9,0,1
1,1,56.0,0,0,0,35.5,1,1
1,1,28.0,0,0,0,35.5,0,1
1,1,56.0,0,0,0,30.6958,1,0
1,1,24.0,1,0,1,60.0,0,0
1,0,18.0,1,0,1,60.0,0,1
1,1,24.0,1,0,1,82.2667,0,1
1,0,23.0,1,0,1,82.2667,0,1
1,1,6.0,0,2,2,134.5,1,1
1,1,45.0,1,1,2,134.5,1,1
1,0,40.0,1,1,2,134.5,1,1
1,1,57.0,1,0,1,146.5208,1,0
1,1,32.0,0,0,0,30.5,1,1
1,1,62.0,0,0,0,26.55,0,0
1,1,54.0,1,0,1,55.4417,1,1
1,0,43.0,1,0,1,55.4417,1,1
1,0,52.0,1,0,1,78.2667,1,1
1,1,67.0,1,0,1,221.7792,0,0
1,0,63.0,1,0,1,221.7792,0,0
1,1,61.0,0,0,0,32.3208,0,0
1,0,48.0,0,0,0,25.9292,0,1
1,0,18.0,0,2,2,79.65,0,1
1,1,52.0,1,1,2,79.65,0,0
1,0,39.0,1,1,2,79.65,0,1
1,1,48.0,1,0,1,52.0,0,1
1,1,49.0,1,1,2,110.8833,1,0
1,1,17.0,0,2,2,110.8833,1,1
1,0,39.0,1,1,2,110.8833,1,1
1,1,31.0,0,0,0,28.5375,1,1
1,1,61.0,0,0,0,33.5,0,0
1,1,47.0,0,0,0,34.0208,0,0
1,1,64.0,1,0,1,75.25,1,0
1,0,60.0,1,0,1,75.25,1,1
1,1,54.0,0,1,1,77.2875,0,0
1,1,21.0,0,1,1,77.2875,0,0
1,0,55.0,0,0,0,135.6333,1,1
1,0,31.0,0,2,2,164.8667,0,1
1,1,50.0,1,1,2,211.5,1,0
1,1,27.0,0,2,2,211.5,1,0
1,0,50.0,1,1,2,211.5,1,1
1,0,31.0,0,0,0,134.5,1,1
1,0,36.0,0,0,0,135.6333,1,1
2,0,36.0,0,0,0,13.0,0,1
2,1,1.0,2,1,3,39.0,0,1
2,0,4.0,2,1,3,39.0,0,1
2,0,12.0,2,1,3,39.0,0,1
2,0,36.0,0,3,3,39.0,0,1
2,1,34.0,0,0,0,13.0,0,1
2,0,24.0,0,0,0,13.0,0,1
2,0,22.0,0,0,0,10.5,0,1
2,0,23.0,0,0,0,13.7917,1,1
2,0,34.0,0,0,0,10.5,0,1
2,1,36.0,0,0,0,12.875,1,0
2,0,57.0,0,0,0,10.5,0,0
2,1,2.0,1,1,2,26.0,0,1
2,1,3.0,1,1,2,26.0,0,1
2,1,36.5,0,2,2,26.0,0,0
2,1,26.0,0,0,0,13.0,0,0
2,1,20.0,0,0,0,13.8625,1,1
2,0,29.0,0,0,0,10.5,0,1
2,1,18.5,0,0,0,13.0,0,0
2,0,27.0,0,0,0,10.5,0,1
2,0,32.5,0,0,0,13.0,0,1
3,1,25.0,0,0,0,7.65,0,1
3,1,42.0,0,0,0,7.65,0,0
3,1,25.0,0,0,0,7.2292,1,1
3,1,25.0,0,0,0,7.65,0,0
3,1,6.0,0,1,1,12.475,0,1
3,0,27.0,0,1,1,12.475,0,1
3,1,32.0,0,0,0,8.05,0,1
3,0,1.0,1,1,2,16.7,0,1
3,0,24.0,0,2,2,16.7,0,1
3,0,4.0,1,1,2,16.7,0,1
3,1,19.0,0,0,0,7.65,0,0
3,0,2.0,0,1,1,10.4625,0,0
3,0,29.0,1,1,2,10.4625,0,0
